edges("vertex1,vertex2,edgeWeight")
GoldenGateBridge,PalmSprings,14
Disneyland,DeathValley,4
BigSur,GoldenGateBridge,3
DeathValley,SantaCruz,8
LakeTahoe,SequoiaPark,7
Yosemite,SequoiaPark,8
KingsCanyon,DeathValley,6
LA_Airport,DeathValley,5
LA_Airport,SequoiaPark,4
VeniceBeach,Yosemite,15
JoshuaTree,DeathValley,6
JoshuaTree,KingsCanyon,9
UniversalStudios,LA_Airport,1
UniversalStudios,HearstCastle,5
HearstCastle,SanFrancisco,4
SanFrancisco,BigSur,3
Fresno,BigSur,3
Fresno,LA_Airport,5
Fresno,SanDiego,8
UniversalStudios,GettyCenter,2
SanDiego,USSMidwayMuseum,1
JoshuaTree,VeniceBeach,8
SanDiegoZoo,SanDiego,1
SanDiego,LA_Airport,3
LA_Airport,SantaCruz,10
Disneyland,LA_Airport,2
JoshuaTree,Yosemite,12
SanDiego,LakeTahoe,9Fresno, California
GoldenGateBridge,SantaCruz,6
SanFrancisco,SantaCruz,3
SanFrancisco,PalmSprings,12
LakeTahoe,KingsCanyon,7
Disneyland,UniversalStudios,2
GettyCenter,LA_Airport,2
VeniceBeach,KingsCanyon,3
VeniceBeach,SequoiaPark,5
PalmSprings,SantaCruz,14
SanDiego,BigSur,7
USSMidwayMuseum,PalmSprings,11
GettyCenter,USSMidwayMuseum,5
HearstCastle,LakeTahoe,2
LakeTahoe,Yosemite,5
Disneyland,Yosemite,2
Disneyland,PalmSprings,3
UniversalStudios,SequoiaPark,5
UniversalStudios,JoshuaTree,10
Fresno,VeniceBeach,9
LA_Airport,VeniceBeach,1
LakeTahoe,GoldenGateBridge,9
HearstCastle,GoldenGateBridge,2
SanFrancisco,SanDiego,12
